title	tomato_meter	audience_score	date	directors
55 Days at Peking	57	55	1963	['Nicholas Ray', 'Guy Green', 'Andrew Marton']
3 Generations	31	44	2015	['Gaby Dellal']
Magnificent Obsession	88	71	1954	['Douglas Sirk']
Sleep Dealer	70	50	2008	['Alex Rivera']
Woman Walks Ahead	60	61	2017	['Susanna White']
Send Me No Flowers	57	74	1964	['Norman Jewison']
Nil Battey Sannata	100	85	2015	['Ashwiny Iyer Tiwari']
Magical Girl	100	78	2014	['Carlos Vermut']
Images	71	71	1972	['Robert Altman']
Razorback	58	48	1984	['Russell Mulcahy']
Blacula	48	43	1972	['William Crain']
Profesionalac	None	88	2003	['Dusan Kovacevic']
Inhale	38	46	2010	['Baltasar Kormákur']
James White	92	70	2015	['Josh Mond']
The Adventurer: The Curse of the Midas Box	20	64	2013	['Jonathan Newman']
Crown Vic	58	74	2019	['Joel Souza']
Japanese Story	68	69	2003	['Sue Brooks']
Levity	34	47	2003	['Ed Solomon']
Dracula's Daughter	61	42	1936	['Lambert Hillyer']
Deceiver	48	58	1997	['Jonas Pate', 'Josh Pate']
House Party 2	27	65	1991	['George Jackson', 'Doug McHenry']
Nothing Sacred	100	69	1937	['William A. Wellman']
Won't Back Down	35	61	2012	['Daniel Barnz']
I Am a Hero	91	72	2015	['Shinsuke Sato']
Camelot	41	69	1967	['Joshua Logan']
Miss Stevens	91	68	2016	['Julia Hart']
Star 80	86	70	1983	['Bob Fosse']
Smosh: The Movie	None	42	2015	['Alex Winter']
Monsieur Hire	100	86	1989	['Patrice Leconte']
Somers Town	96	75	2008	['Shane Meadows']
The Nut Job 2: Nutty by Nature	14	44	2017	['Cal Brunker']
Billy Liar	94	84	1963	['John Schlesinger']
The Clan of the Cave Bear	10	47	1986	['Michael Chapman']
The Scarlet Empress	86	85	1934	['Josef von Sternberg']
Singam 2	None	65	2013	['Hari']
True Stories	79	83	1986	['David Byrne']
49th Parallel	85	75	1941	['Michael Powell']
Penny Dreadful	None	35	2006	['Richard Brandes']
Sgt. Pepper's Lonely Hearts Club Band	11	44	1978	['Michael Schultz']
The Border	65	53	1982	['Tony Richardson']
BUtterfield 8	47	57	1960	['Daniel Mann']
Irma Vep	93	71	1996	['Olivier Assayas']
Morocco	82	70	1930	['Josef von Sternberg']
Finding Fanny	69	46	2014	['Homi Adajania']
The Sense of an Ending	74	51	2017	['Ritesh Batra']
John Rabe	74	74	2009	['Florian Gallenberger']
Naam Shabana	22	27	2017	['Shivam Nair']
Gurotesuku	None	30	2009	['Kôji Shiraishi']
Compulsion	100	86	1959	['Richard Fleischer']
Killing Bono	56	47	2011	['Nick Hamm']
The Queen's Corgi	0	34	2019	['Vincent Kesteloot', 'Ben Stassen']
Hurricane Bianca	40	54	2016	['Matt Kugelman']
No Holds Barred	10	34	1989	['Thomas J. Wright']
Jack Brooks: Monster Slayer	61	51	2007	['Jon Knautz']
Our Man Flint	77	68	1966	['Daniel Mann']
Querelle	62	71	1982	['Rainer Werner Fassbinder']
Dear Evan Hansen	29	88	2021	['Stephen Chbosky']
The Ghost and Mr. Chicken	67	75	1966	['Alan Rafkin']
Arthur 2: On the Rocks	13	30	1988	['Bud Yorkin']
Gabbar Singh	None	88	2012	['Harish Shankar']
The Broken Hearts Gallery	79	88	2020	['Natalie Krinsky']
Millennium	11	30	1989	['Michael Anderson']
This Sporting Life	95	86	1963	['Lindsay Anderson']
Give 'em Hell Malone	None	35	2009	['Russell Mulcahy']
Anjaam	None	53	1994	['Rahul Rawail']
The Moguls	19	54	2005	['Michael Traeger']
Design for Living	76	81	1933	['Ernst Lubitsch']
Krabat	None	46	2008	['Marco Kreuzpaintner']
Imaginaerum	None	63	2012	['Stobe Harju', 'Mark Roper']
Twentieth Century	86	75	1934	['Howard Hawks']
Singam	None	65	2010	['Hari']
Year of the Dog	69	43	2007	['Mike White']
Thoroughly Modern Millie	83	81	1967	['George Roy Hill']
Nuts	36	71	1987	['Martin Ritt']
A Merry Friggin' Christmas	14	21	2014	['Tristram Shapeero']
Race with the Devil	64	54	1975	['Jack Starrett']
Prospero's Books	67	83	1991	['Peter Greenaway']
Fire Birds	10	35	1990	['David Green']
Masti	None	70	2004	['Indra Kumar']
Harrison's Flowers	49	76	2000	['Élie Chouraqui']
Dance with Me	51	67	1998	['Randa Haines']
Witless Protection	4	46	2008	['Charles Robert Carner']
Born Free	94	86	1966	['James Hill', 'Tom McGowan']
Her Smell	84	46	2018	['Alex Ross Perry']
Frogs	29	24	1972	['George McCowan']
Saand Ki Aankh	56	91	2019	['Tushar Hiranandani']
El Bola	91	89	2000	['Achero Mañas']
Wonder Woman: Bloodlines	88	82	2019	['Justin Copeland', 'Sam Liu']
Queen of Earth	93	59	2015	['Alex Ross Perry']
Breakin'	33	72	1984	['Joel Silberg']
Girl 6	33	36	1996	['Spike Lee']
Outpost 37	20	32	2014	['Jabbar Raisani']
The Single Moms Club	18	58	2014	['Tyler Perry']
The Hospital	100	74	1971	['Arthur Hiller']
Edge of Seventeen	79	73	1998	['David Moreton']
Nightbooks	87	62	2021	['David Yarovesky']
Bro's Before Ho's	None	56	2013	['Steffen Haars', 'Flip Van der Kuil']
Pari	46	74	2018	['Prosit Roy']
O Homem do Futuro	None	69	2011	['Cláudio Torres']
Spanking the Monkey	91	55	1994	['David O. Russell']
Dans la brume	45	43	2018	['Daniel Roby']
Dasvidaniya	None	88	2008	['Shashant Shah']
Mutant Blast	100	None	2018	['Fernando Alle']
Here Comes Mr. Jordan	100	82	1941	['Alexander Hall']
Dr. Giggles	18	41	1992	['Manny Coto']
Make It Happen	22	41	2008	['Darren Grant']
Seconds Apart	None	40	2011	['Antonio Negret']
Jimmy's Hall	76	60	2014	['Ken Loach']
Abgeschnitten	100	61	2018	['Christian Alvart']
Club Paradise	11	36	1986	['Harold Ramis']
Clash by Night	73	70	1952	['Fritz Lang']
American Woman	88	81	2018	['Jake Scott']
Ajami	97	81	2009	['Scandar Copti', 'Yaron Shani']
Tromeo and Juliet	None	61	1996	['Lloyd Kaufman']
El Gringo	None	31	2012	['Eduardo Rodriguez']
Pithamagan	None	79	2003	['Bala']
Zama	96	55	2017	['Lucrecia Martel']
Chairman of the Board	13	20	1998	['Alex Zamm']
Lisbela e o Prisioneiro	None	79	2003	['Guel Arraes']
Harbinger Down	38	19	2015	['Alec Gillis']
The Hide	None	61	2008	['Marek Losey']
Last Exit to Brooklyn	74	74	1989	['Uli Edel']
Some Came Running	77	76	1958	['Vincente Minnelli']
Prisoners of the Ghostland	65	28	2021	['Sion Sono']
Afterlife of the Party	56	74	2021	['Stephen Herek']
Utvandrarna	93	87	1971	['Jan Troell']
Mumbai Meri Jaan	None	78	2008	['Nishikant Kamat']
Finding Your Feet	70	56	2017	['Richard Loncraine']
The Most Hated Woman in America	36	39	2017	["Tommy O'Haver"]
Marjorie Prime	90	62	2017	['Michael Almereyda']
Bye Bye Love	19	49	1995	['Sam Weisman']
Mr. & Mrs. Khiladi	None	74	1997	['David Dhawan']
Matru ki Bijlee ka Mandola	33	44	2013	['Vishal Bhardwaj']
Altar	None	66	2014	['Nick Willing']
Corbin Nash	None	57	2018	['Ben Jagger']
Laserblast	None	15	1978	['Michael Rae']
Anti Matter	88	78	2016	['Keir Burrows']
Brian Banks	63	97	2018	['Tom Shadyac']
How to Murder Your Wife	64	64	1965	['Richard Quine']
Any Day Now	79	76	2012	['Travis Fine']
Daughter of the Wolf	22	42	2019	['David Hackl']
They Died with Their Boots On	82	75	1941	['Raoul Walsh']
Women in Trouble	29	27	2009	['Sebastian Gutierrez']
Gemma Bovery	54	43	2014	['Anne Fontaine']
The Crimson Pirate	100	84	1952	['Robert Siodmak']
Every Thing Will Be Fine	28	24	2015	['Wim Wenders']
En chance til	52	55	2014	['Susanne Bier']
Trancers	83	53	1984	['Charles Band']
People Will Talk	88	79	1951	['Joseph L. Mankiewicz']
American Fable	76	41	2016	['Anne Hamilton']
I Hired a Contract Killer	None	87	1990	['Aki Kaurismäki']
The Great Santini	95	75	1979	['Lewis John Carlino']
YellowBrickRoad	50	30	2010	['Jesse Holland', 'Andy Mitton']
Cutter's Way	91	71	1981	['Ivan Passer']
Nunta muta	None	82	2008	['Horatiu Malaele']
Liquid Sky	96	70	1982	['Slava Tsukerman']
Mike Bassett: England Manager	40	75	2001	['Steve Barron']
Un lugar en el Caribe	None	100	2017	['Juan Carlos Fanconi']
Only the Strong	8	77	1993	['Sheldon Lettich']
The Ballad of Lefty Brown	79	54	2017	['Jared Moshe']
C'eravamo tanto amati	None	97	1974	['Ettore Scola']
Junior Bonner	92	63	1972	['Sam Peckinpah']
Lilting	82	80	2014	['Hong Khaou']
Husbands	65	80	1970	['John Cassavetes']
Walking Out	90	56	2017	['Alex Smith', 'Andrew J. Smith']
Jeffrey	68	68	1995	['Christopher Ashley']
Backbeat	69	66	1994	['Iain Softley']
Retroactive	57	47	1997	['Louis Morneau']
Digging for Fire	64	41	2015	['Joe Swanberg']
Eating Out	16	58	2004	['Q. Allan Brocka']
The Concorde... Airport '79	14	14	1979	['David Lowell Rich']
Fort Apache the Bronx	86	66	1981	['Daniel Petrie']
Jesus Henry Christ	22	47	2011	['Dennis Lee']
Pyaasa	100	89	1957	['Guru Dutt']
Sex Weather	None	99	2018	['Jon Garcia']
Grand Masti	None	34	2013	['Indra Kumar']
Vile	None	30	2011	['Taylor Sheridan']
Complete Unknown	51	24	2016	['Joshua Marston']
All the Best: Fun Begins	None	51	2009	['Rohit Shetty']
Constantine: City of Demons	None	76	2018	['Doug Murphy']
The Tripper	38	33	2006	['David Arquette']
Breakin' All the Rules	31	57	2004	['Daniel Taplitz']
Arya 2	None	82	2009	['Sukumar']
Hello I Must Be Going	75	55	2012	['Todd Louiso']
Yazi Tura	None	87	2004	['Ugur Yücel']
Trojan War	None	39	1997	['George Huang']
The Trotsky	79	70	2009	['Jacob Tierney']
Amer	79	54	2009	['Hélène Cattet', 'Bruno Forzani']
Timber Falls	38	28	2007	['Tony Giglio']
Whisky	100	75	2004	['Juan Pablo Rebella', 'Pablo Stoll']
Frygtelig lykkelig	88	73	2008	['Henrik Ruben Genz']
Wild Mountain Thyme	26	52	2020	['John Patrick Shanley']
The Bleeder	81	64	2016	['Philippe Falardeau']
Phoenix Forgotten	45	40	2017	['Justin Barber']
Chamatkar	None	41	1992	['Rajiv Mehra']
Hell Comes to Frogtown	56	46	1988	['Donald G. Jackson', 'R.J. Kizer']
Carousel	83	61	1956	['Henry King']
Sunday Bloody Sunday	86	71	1971	['John Schlesinger']
Where the Money Is	48	36	2000	['Marek Kanievska']
Future World	0	12	2018	['James Franco', 'Bruce Thierry Cheung']
Testament	89	74	1983	['Lynne Littman']
Dr. Phibes Rises Again	59	57	1972	['Robert Fuest']
100 metros	None	88	2016	['Marcel Barrena']
The Sunshine Boys	72	73	1975	['Herbert Ross']
Drums Along the Mohawk	82	60	1939	['John Ford']
Clean and Sober	57	62	1988	['Glenn Gordon Caron']
Dying Breed	50	23	2008	['Jody Dwyer']
Kiss Me Kate	91	67	1953	['George Sidney']
Forget Me Not	None	26	2009	['Tyler Oliver']
The Trials of Cate McCall	None	36	2013	['Karen Moncrieff']
Action Replayy	0	27	2010	['Vipul Amrutlal Shah']
E la nave va	80	83	1983	['Federico Fellini']
Napapiirin sankarit	None	65	2010	['Dome Karukoski']
I Melt with You	16	43	2011	['Mark Pellington']
Ashes in the Snow	53	83	2018	['Marius A. Markevicius']
13 Ghosts	36	41	1960	['William Castle']
A Dark Truth	8	36	2012	['Damian Lee']
Same Time, Next Year	40	85	1978	['Robert Mulligan']
Raze	45	30	2013	['Josh C. Waller']
Norman: The Moderate Rise and Tragic Fall of a New York Fixer	87	56	2016	['Joseph Cedar']
MR 73	None	56	2008	['Olivier Marchal']
Beneath the Darkness	4	15	2011	['Martin Guigui']
Tadpole	78	57	2002	['Gary Winick']
Landmine Goes Click	50	89	2015	['Levan Bakhia']
Esperando la carroza	None	96	1985	['Alejandro Doria']
Hunterrr	50	60	2015	['Harshavardhan Kulkarni']
The World to Come	75	62	2020	['Mona Fastvold']
She Done Him Wrong	92	52	1933	['Lowell Sherman']
Psycho Beach Party	55	66	2000	['Robert Lee King']
Mal de pierres	32	63	2016	['Nicole Garcia']
Loosies	22	34	2011	['Michael Corrente']
At the Circus	100	63	1939	['Edward Buzzell']
Warlock: The Armageddon	0	41	1993	['Anthony Hickox']
Justin and the Knights of Valour	13	36	2013	['Manuel Sicilia']
King Kong Lives	0	17	1986	['John Guillermin']
Rad	42	90	1986	['Hal Needham']
Another Country	80	74	1984	['Marek Kanievska']
Mr. Saturday Night	58	38	1992	['Billy Crystal']
The Bunker	80	34	2001	['Rob Green']
Hampstead	43	40	2017	['Joel Hopkins']
Satan's Little Helper	None	35	2004	['Jeff Lieberman']
Prick Up Your Ears	94	79	1987	['Stephen Frears']
The Ghost of Frankenstein	75	40	1942	['Erle C. Kenton']
Bushwhacked	11	37	1995	['Greg Beeman']
Dolemite	57	66	1975	["D'Urville Martin"]
Le dernier combat	67	68	1983	['Luc Besson']
Khumba	44	44	2013	['Anthony Silverston']
Losing Isaiah	45	73	1995	['Stephen Gyllenhaal']
Main Khiladi Tu Anari	None	65	1994	['Sameer Malkan']
The Last of Sheila	87	85	1973	['Herbert Ross']
Chekka Chivantha Vaanam	None	50	2018	['Mani Ratnam']
Kit Kittredge: An American Girl	80	69	2008	['Patricia Rozema']
Dor	None	93	2006	['Nagesh Kukunoor']
Waking Up in Reno	13	31	2002	['Jordan Brady']
Charulata	93	91	1964	['Satyajit Ray']
Murphy's Romance	74	75	1985	['Martin Ritt']
Bruiser	67	30	2000	['George A. Romero']
How to Get Ahead in Advertising	60	77	1989	['Bruce Robinson']
The Childhood of a Leader	89	54	2015	['Brady Corbet']
Pudhu Pettai	None	89	2006	['K. Selvaraghavan']
La Nana	93	81	2009	['Sebastián Silva']
Visioneers	67	54	2008	['Jared Drake']
The Brother from Another Planet	89	75	1984	['John Sayles']
American Flyers	65	65	1985	['John Badham']
Kiki, el amor se hace	73	74	2016	['Paco León']
Killerman	30	63	2019	['Malik Bader']
The Houses October Built 2	13	45	2017	['Bobby Roe']
Sudden Fear	92	84	1952	['David Miller']
Curse of the Pink Panther	31	24	1983	['Blake Edwards']
Revenge of the Creature	13	33	1955	['Jack Arnold']
Enemies Closer	79	29	2013	['Peter Hyams']
Room at the Top	100	81	1959	['Jack Clayton']
Dragon Eyes	None	18	2012	['John Hyams']
Bombay Velvet	50	40	2015	['Anurag Kashyap']
All Dogs Go to Heaven 2	20	39	1996	['Larry Leker', 'Paul Sabella']
The Quatermass Xperiment	93	67	1955	['Val Guest']
Bloodsucking Bastards	67	48	2015	["Brian James O'Connell"]
Kis Kisko Pyaar Karoon	0	None	2015	['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']
Impractical Jokers: The Movie	35	76	2020	['Chris Henchy']
Sharky's Machine	86	62	1981	['Burt Reynolds']
Billy Jack	63	63	1971	['Tom Laughlin']
Mr. Skeffington	57	80	1944	['Vincent Sherman']
Beau Geste	100	85	1939	['William A. Wellman']
Maybe Baby	50	48	2000	['Ben Elton', 'Hugh Laurie']
deUsynlige	None	90	2008	['Erik Poppe']
Twin Town	46	89	1997	['Kevin Allen']
Blonde Ambition	14	22	2007	['Scott Marshall']
Electrick Children	88	72	2012	['Rebecca Thomas']
Two Rode Together	83	53	1961	['John Ford']
FairyTale: A True Story	57	66	1997	['Charles Sturridge']
The Razor's Edge	63	71	1946	['Edmund Goulding']
While the City Sleeps	90	67	1956	['Fritz Lang']
Chiedimi se sono felice	None	63	2000	['Directors', 'Aldo Baglio', 'Giacomo Poretti', 'Giovanni Storti']
Audrey Rose	53	43	1977	['Robert Wise']
Firehouse Dog	38	62	2007	['Todd Holland']
Desert Hearts	96	76	1985	['Donna Deitch']
Evil Aliens	50	53	2005	['Jake West']
Apartment 1303 3D	None	9	2012	['Michael Taverna']
Murder at the Gallop	100	73	1963	['George Pollock']
Humpday	79	51	2009	['Lynn Shelton']
The Boy Who Could Fly	63	69	1986	['Nick Castle']
The Curse of the Werewolf	50	58	1961	['Terence Fisher']
There's No Business Like Show Business	67	57	1954	['Walter Lang']
Camp	64	68	2003	['Todd Graff']
Voyage to the Bottom of the Sea	76	39	1961	['Irwin Allen']
Life with Mikey	25	40	1993	['James Lapine']
The Trip to Spain	83	64	2017	['Michael Winterbottom']
Greenfingers	46	66	2000	['Joel Hershman']
Tabernacle 101	None	98	2019	["Colm O'Murchu"]
The Gorgon	64	49	1964	['Terence Fisher']
Seethamma Vakitlo Sirimalle Chettu	None	69	2013	['Srikanth Addala']
Miasto 44	None	58	2014	['Jan Komasa']
Spacehunter: Adventures in the Forbidden Zone	23	36	1983	['Lamont Johnson']
She Dies Tomorrow	83	22	2020	['Amy Seimetz']
The Legend of Barney Thomson	62	52	2015	['Robert Carlyle']
Hair Show	17	69	2004	['Leslie Small']
Grupo 7	None	53	2012	['Alberto Rodríguez']
Not Cool	14	71	2014	['Shane Dawson']
Music Within	33	78	2007	['Steven Sawalich']
Across 110th Street	81	79	1972	['Barry Shear']
Import Export	84	76	2007	['Ulrich Seidl']
Just Before Dawn	None	51	1981	['Jeff Lieberman']
Crazy on the Outside	8	28	2010	['Tim Allen']
Blackbeard's Ghost	82	72	1968	['Robert Stevenson']
A Room for Romeo Brass	68	92	1999	['Shane Meadows']
Sweet Movie	48	63	1974	['Dusan Makavejev']
Let's Kill Ward's Wife	17	29	2014	['Scott Foley']
Adieu au langage	88	47	2014	['Jean-Luc Godard']
Sherlock Holmes and the Secret Weapon	None	53	1942	['Roy William Neill']
R... Rajkumar	0	35	2013	['Prabhu Deva']
Lo spietato	None	45	2019	['Renato De Maria']
Elena Undone	None	63	2010	['Nicole Conn']
Deep Blue Sea 3	71	36	2020	['John Pogue']
Never Die Alone	26	61	2004	['Ernest R. Dickerson']
Die Mitte der Welt	100	84	2016	['Jakob M. Erwa']
Squirm	29	26	1976	['Jeff Lieberman']
Welp	38	33	2014	['Jonas Govaerts']
Mama's Boy	8	26	2007	['Tim Hamilton']
Magicians	33	None	2007	["Andrew O'Connor"]
Brooklyn Rules	45	51	2007	['Michael Corrente']
Two If by Sea	11	23	1996	['Bill Bennett']
Evim Sensin	None	50	2012	['Özcan Deniz']
The Big Ugly	41	82	2020	['Scott Wiper']
One Point O	67	67	2004	['Jeff Renfroe', 'Marteinn Thorsson']
Les combattants	79	66	2014	['Thomas Cailley']
Geography Club	67	53	2013	['Gary Entin']
Tom of Finland	83	70	2017	['Dome Karukoski']
Sag Salim	None	50	2012	['Ersoy Güler']
Fear of Rain	54	59	2021	['Castille Landon']
Black Moon Rising	43	23	1986	['Harley Cokeliss']
Kidnapping Stella	None	27	2019	['Thomas Sieben']
South Central	100	83	1992	['Stephen Milburn Anderson']
Underclassman	6	34	2005	['Marcos Siega']
Thunderpants	67	44	2002	['Peter Hewitt']
Paperhouse	100	71	1988	['Bernard Rose']
The Yearling	100	76	1946	['Clarence Brown']
Love Streams	100	88	1984	['John Cassavetes']
Wise Guys	31	41	1986	['Brian De Palma']
Texas Rangers	2	29	2001	['Steve Miner']
Blue Miracle	70	72	2021	['Julio Quintana']
Thirty Seconds Over Tokyo	100	75	1944	['Mervyn LeRoy']
Exeter	None	24	2015	['Marcus Nispel']
Flesh for Frankenstein	86	55	1973	['Paul Morrissey', 'Antonio Margheriti']
Nayattu	100	100	2021	['Martin Prakkat']
Mythica: The Darkspore	None	39	2015	['Anne K. Black']
Blue Caprice	83	51	2013	['Alexandre Moors']
Books of Blood	21	29	2020	['Brannon Braga']
Doctor Detroit	33	40	1983	['Michael Pressman']
Babycall	76	36	2011	['Pål Sletaune']
Poms	36	73	2019	['Zara Hayes']
Boy Culture	70	70	2006	['Q. Allan Brocka']
Ugramm	None	77	2014	['Prashanth Neel']
Moon Over Parador	42	46	1988	['Paul Mazursky']
Parallel Minds	67	None	2020	['Benjamin Ross Hayden']
Melody Time	73	48	1948	['Directors', 'Clyde Geronimi', 'Wilfred Jackson', 'Jack Kinney']
Mi obra maestra	86	73	2018	['Gastón Duprat']
Cromwell	43	69	1970	['Ken Hughes']
Run Ronnie Run	71	72	2002	['Troy Miller']
He Walked by Night	86	61	1948	['Alfred L. Werker', 'Anthony Mann']
This Property Is Condemned	64	77	1966	['Sydney Pollack']
Nemesis	60	40	1992	['Albert Pyun']
Mute Witness	83	66	1995	['Anthony Waller']
Deadly Blessing	14	28	1981	['Wes Craven']
Special	58	63	2006	['Hal Haberman', 'Jeremy Passmore']
Sweet Charity	83	73	1969	['Bob Fosse']
7 cajas	97	82	2012	['Juan Carlos Maneglia', 'Tana Schémbori']
Move Over, Darling	None	77	1963	['Michael Gordon']
Thieves' Highway	100	78	1949	['Jules Dassin']
Thaanaa Serndha Koottam	None	57	2018	['Vignesh Shivan']
Leprechaun: Origins	0	11	2014	['Zach Lipovsky']
Keep the Lights On	90	62	2012	['Ira Sachs']
A Little Romance	71	85	1979	['George Roy Hill']
Air Bud: Golden Receiver	21	38	1998	['Richard Martin']
Adults in the Room	45	86	2019	['Costa-Gavras']
La ley de Herodes	68	88	1999	['Luis Estrada']
Starship Troopers: Traitor of Mars	None	32	2017	['Shinji Aramaki', 'Masaru Matsumoto']
Jamesy Boy	26	57	2014	['Trevor White']
Box of Moonlight	61	81	1996	['Tom DiCillo']
Vincent will Meer	64	78	2010	['Ralf Huettner']
Surf Nazis Must Die	20	31	1987	['Peter George']
Im Lauf der Zeit	100	88	1976	['Wim Wenders']
My First Mister	52	76	2001	['Christine Lahti']
Saint Laurent	60	40	2014	['Bertrand Bonello']
Bread and Roses	67	79	2000	['Ken Loach']
Driveways	99	82	2019	['Andrew Ahn']
Dorothy Mills	None	46	2008	['Agnès Merlet']
Cheyenne Autumn	60	46	1964	['John Ford']
Io e te	67	50	2012	['Bernardo Bertolucci']
Love at First Bite	70	55	1979	['Stan Dragoti']
The League of Gentlemen's Apocalypse	83	55	2005	['Steve Bendelack']
Silent Rage	80	39	1982	['Michael Miller']
Wise Blood	87	75	1979	['John Huston']
Sinners and Saints	None	48	2010	['William Kaufman']
First Men in the Moon	67	53	1964	['Nathan Juran']
Altered Carbon: Resleeved	60	51	2020	['Takeru Nakajima', 'Yoshiyuki Okada', 'Shouta Kitamoto']
Herbie Goes Bananas	40	37	1980	['Vincent McEveety']
Darbar	57	53	2020	['A.R. Murugadoss']
Schizopolis	63	80	1996	['Steven Soderbergh']
Already Tomorrow in Hong Kong	74	56	2015	['Emily Ting']
Another Me	None	15	2013	['Isabel Coixet']
Bright Young Things	65	67	2003	['Stephen Fry']
LSD: Love, Sex Aur Dhokha	None	78	2010	['Dibakar Banerjee']
Crimewave	50	48	1985	['Sam Raimi']
Ulzana's Raid	90	66	1972	['Robert Aldrich']
Five Graves to Cairo	100	80	1943	['Billy Wilder']
Abbott and Costello Meet the Mummy	25	49	1955	['Charles Lamont']
For the Boys	43	75	1991	['Mark Rydell']
Hellfighters	13	74	1968	['Andrew V. McLaglen']
Grilled	None	21	2006	['Jason Ensler']
Pat and Mike	85	69	1952	['George Cukor']
Freaks: You're One of Us	0	28	2020	['Felix Binder']
Were the World Mine	71	72	2008	['Tom Gustafson']
Career Girls	88	78	1997	['Mike Leigh']
Naduvula Konjam Pakkatha Kaanom	None	88	2012	['Balaji Tharaneetharan']
The Blood on Satan's Claw	70	58	1971	['Piers Haggard']
In Which We Serve	89	76	1942	['Noël Coward', 'David Lean']
Harry and Tonto	90	81	1974	['Paul Mazursky']
Vincere	92	68	2009	['Marco Bellocchio']
A Quiet Passion	92	48	2016	['Terence Davies']
Officer Down	None	26	2013	['Brian A. Miller']
Jannat 2	0	45	2012	['Kunal Deshmukh']
Victor Crowley	67	46	2017	['Adam Green']
Villmark	None	35	2003	['Pål Øie']
De Heineken ontvoering	None	37	2011	['Maarten Treurniet']
La zona	80	73	2007	['Rodrigo Plá']
The Walker	53	28	2007	['Paul Schrader']
Boys Town	90	81	1938	['Norman Taurog']
Der Staat gegen Fritz Bauer	85	75	2015	['Lars Kraume']
Sukai kurora	80	58	2008	['Mamoru Oshii']
Let It Ride	27	75	1989	['Joe Pytka']
Trudno byt bogom	95	66	2013	['Aleksey German']
Renoir	71	53	2012	['Gilles Bourdos']
Cadence	42	70	1990	['Martin Sheen']
Murder by Decree	85	64	1979	['Bob Clark']
Fast Color	81	59	2018	['Julia Hart']
Two Moon Junction	0	49	1988	['Zalman King']
Get on the Bus	89	71	1996	['Spike Lee']
Rammbock	89	59	2010	['Marvin Kren']
Night in Paradise	72	70	2020	['Park Hoon-jung']
Besharam	17	17	2013	['Abhinav Kashyap']
Giallo	None	14	2009	['Dario Argento']
Cat Run	20	33	2011	['John Stockwell']
Perfect Creature	None	36	2006	['Glenn Standring']
OK Kanmani	None	66	2015	['Mani Ratnam']
Support Your Local Gunfighter	62	60	1971	['Burt Kennedy']
Keane	81	70	2004	['Lodge Kerrigan']
Extreme Ops	7	28	2002	['Christian Duguay']
The Private Lives of Elizabeth and Essex	78	64	1939	['Michael Curtiz']
Message Man	None	66	2018	['Corey Pearson']
Brannigan	18	40	1975	['Douglas Hickox']
Idlewild	47	66	2006	['Bryan Barber']
Kismat Konnection	None	37	2008	['Aziz Mirza']
Once Upon a Forest	22	69	1993	['Charles Grosvenor']
Final Portrait	72	49	2017	['Stanley Tucci']
Legenda No. 17	None	69	2013	['Nikolay Lebedev']
Raising Victor Vargas	96	83	2002	['Peter Sollett']
Disgrace	83	62	2008	['Steve Jacobs']
Post Tenebras Lux	53	49	2012	['Carlos Reygadas']
Clean, Shaven	91	83	1993	['Lodge Kerrigan']
Iceman	None	48	1984	['Fred Schepisi']
Nuevo orden	67	67	2020	['Michel Franco']
Monsters of Man	None	51	2020	['Mark Toia']
Telefon	47	48	1977	['Don Siegel']
Passion Fish	100	82	1992	['John Sayles']
Elvis and Anabelle	None	74	2007	['Will Geiger']
Paradise Road	45	78	1997	['Bruce Beresford']
How to Eat Fried Worms	61	47	2006	['Bob Dolman']
Durgamati: The Myth	0	50	2020	['Ashok G.']
Scars of Dracula	50	44	1970	['Roy Ward Baker']
The Face of Love	43	31	2013	['Arie Posin']
Krippendorf's Tribe	16	24	1998	['Todd Holland']
In Like Flint	67	51	1967	['Gordon Douglas']
Night of the Demons 2	None	52	1994	['Brian Trenchard-Smith']
Hollywood Shuffle	85	80	1987	['Robert Townsend']
America: The Motion Picture	35	39	2021	['Matt Thompson']
Shaandaar	18	23	2015	['Vikas Bahl']
Crime Spree	33	56	2003	['Brad Mirman']
Sin noticias de Dios	38	66	2001	['Agustín Díaz Yanes']
Clockwatchers	84	62	1997	['Jill Sprecher']
Gardens of Stone	47	55	1987	['Francis Ford Coppola']
Little Nikita	54	46	1988	['Richard Benjamin']
Dead Ringer	100	79	1964	['Paul Henreid']
It Came from Beneath the Sea	56	39	1955	['Robert Gordon']
Mystery of the Wax Museum	92	64	1933	['Michael Curtiz']
Buffet Froid	None	89	1979	['Bertrand Blier']
I Am Michael	62	37	2015	['Justin Kelly']
Vamp	33	49	1986	['Richard Wenk']
Bodied	89	86	2017	['Joseph Kahn']
Great White	42	20	2021	['Martin Wilson']
Glorious 39	44	42	2009	['Stephen Poliakoff']
68 Kill	70	55	2017	['Trent Haaga']
Northfork	56	66	2003	['Michael Polish']
Phas Gaye Re Obama	None	67	2010	['Subhash Kapoor']
Oranges and Sunshine	69	70	2010	['Jim Loach']
Body Shots	11	27	1999	['Michael Cristofer']
Class of 83	17	44	2020	['Atul Sabharwal']
Casque d'or	100	84	1952	['Jacques Becker']
Martin Eden	87	66	2019	['Pietro Marcello']
Goemon	None	72	2009	['Kazuaki Kiriya']
The Dinosaur Project	29	20	2012	['Sid Bennett']
